41838384 frame.time_delta,frame.len,ip.proto,ip.len,ip.ttl,tcp.len,tcp.window_size,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
49213960 0.000027214,60,6,40,125,0,8207,52514,22,,
49214541 0.000000993,486,6,472,64,432,6779,22,52514,,
49215114 0.000038733,534,6,520,64,480,6779,22,52514,,
49215632 0.000014858,246,6,232,64,192,6779,22,52514,,
49216185 0.000019642,294,6,280,64,240,6779,22,52514,,
49216830 0.000033942,582,6,568,64,528,6779,22,52514,,
49217476 0.000044361,630,6,616,64,576,6779,22,52514,,
49218089 0.000007469,60,6,40,125,0,8212,52514,22,,
49218703 0.000002226,150,6,136,64,96,6779,22,52514,,
49219228 0.000052643,60,6,40,125,0,8209,52514,22,,
49219749 0.000000706,822,6,808,64,768,6779,22,52514,,
49220369 0.000055374,822,6,808,64,768,6779,22,52514,,
49220963 0.000054030,60,6,40,125,0,8212,52514,22,,
49221587 0.000001664,822,6,808,64,768,6779,22,52514,,
49222167 0.000003442,102,6,88,64,48,6779,22,52514,,
49222748 0.000050363,60,6,40,125,0,8209,52514,22,,
49223340 0.000002030,390,6,376,64,336,6779,22,52514,,
49223902 0.000047501,438,6,424,64,384,6779,22,52514,,
49224558 0.000003410,60,6,40,125,0,8206,52514,22,,
49225169 0.000002037,102,6,88,64,48,6779,22,52514,,
49225756 0.000002542,102,6,88,64,48,6779,22,52514,,
49226351 0.000047590,60,6,40,125,0,8212,52514,22,,
49226948 0.000001549,678,6,664,64,624,6779,22,52514,,
49227535 0.000003711,102,6,88,64,48,6779,22,52514,,
49228098 0.000049912,726,6,712,64,672,6779,22,52514,,
49228689 0.000054347,774,6,760,64,720,6779,22,52514,,
49229312 0.000053592,60,6,40,125,0,8212,52514,22,,
49229911 0.000002306,582,6,568,64,528,6779,22,52514,,
49230504 0.000003515,102,6,88,64,48,6779,22,52514,,
49231089 0.000048863,774,6,760,64,720,6779,22,52514,,
49231676 0.000053745,60,6,40,125,0,8209,52514,22,,
49232360 0.000001653,678,6,664,64,624,6779,22,52514,,
49232969 0.000053056,60,6,40,125,0,8212,52514,22,,
49233600 0.000000730,630,6,616,64,576,6779,22,52514,,
49234208 0.000044011,678,6,664,64,624,6779,22,52514,,
49234798 0.000007689,60,6,40,125,0,8209,52514,22,,
49235381 0.000001599,150,6,136,64,96,6779,22,52514,,
49236034 0.000002575,102,6,88,64,48,6779,22,52514,,
49236627 0.000054609,678,6,664,64,624,6779,22,52514,,
49237244 0.000041818,726,6,712,64,672,6779,22,52514,,
49237830 0.000009623,150,6,136,64,96,6779,22,52514,,
49238426 0.000053460,60,6,40,125,0,8212,52514,22,,
49239007 0.000001903,534,6,520,64,480,6779,22,52514,,
49239587 0.000053025,60,6,40,125,0,8210,52514,22,,
49240179 0.000002951,246,6,232,64,192,6779,22,52514,,
49240777 0.000003579,102,6,88,64,48,6779,22,52514,,
49241398 0.000049126,678,6,664,64,624,6779,22,52514,,
49241991 0.000050193,726,6,712,64,672,6779,22,52514,,
49242584 0.000003417,60,6,40,125,0,8212,52514,22,,
49243162 0.000001722,102,6,88,64,48,6779,22,52514,,
49243733 0.000002508,102,6,88,64,48,6779,22,52514,,
49244374 0.000052728,774,6,760,64,720,6779,22,52514,,
49244961 0.000052461,60,6,40,125,0,8207,52514,22,,
49245573 0.000001879,726,6,712,64,672,6779,22,52514,,
49246163 0.000003609,102,6,88,64,48,6779,22,52514,,
49246755 0.000050539,870,6,856,64,816,6779,22,52514,,
49247337 0.000053331,60,6,40,125,0,8212,52514,22,,
49247960 0.000001936,582,6,568,64,528,6779,22,52514,,
49248575 0.000052792,60,6,40,125,0,8209,52514,22,,
49249187 0.000020359,102,6,88,64,48,6779,22,52514,,
49249775 0.000013562,150,6,136,64,96,6779,22,52514,,
49250363 0.000027406,438,6,424,64,384,6779,22,52514,,
49250940 0.000034466,486,6,472,64,432,6779,22,52514,,
49251586 0.000018521,294,6,280,64,240,6779,22,52514,,
49252186 0.000022897,342,6,328,64,288,6779,22,52514,,
49252802 0.000029587,486,6,472,64,432,6779,22,52514,,
49253426 0.000035948,534,6,520,64,480,6779,22,52514,,
49254026 0.000016517,60,6,40,125,0,8212,52514,22,,
49254603 0.000002199,198,6,184,64,144,6779,22,52514,,
49255188 0.000056359,150,6,136,64,96,6779,22,52514,,
49255777 0.000020907,198,6,184,64,144,6779,22,52514,,
49256393 0.000029746,60,6,40,125,0,8206,52514,22,,
49257003 0.000000971,486,6,472,64,432,6779,22,52514,,
49257614 0.000039049,534,6,520,64,480,6779,22,52514,,
49258211 0.000012559,60,6,40,125,0,8212,52514,22,,
49258796 0.000001888,246,6,232,64,192,6779,22,52514,,
49259372 0.000002717,102,6,88,64,48,6779,22,52514,,
49259925 0.000050368,60,6,40,125,0,8209,52514,22,,
49260562 0.000000328,726,6,712,64,672,6779,22,52514,,
49261193 0.000054320,60,6,40,125,0,8208,52514,22,,
49261778 0.000001129,774,6,760,64,720,6779,22,52514,,
49262372 0.000053869,60,6,40,125,0,8212,52514,22,,
49262955 0.000001930,390,6,376,64,336,6779,22,52514,,
49263593 0.000049031,438,6,424,64,384,6779,22,52514,,
49264184 0.000005604,102,6,88,64,48,6779,22,52514,,
49264787 0.000053809,60,6,40,125,0,8209,52514,22,,
49265407 0.000001248,870,6,856,64,816,6779,22,52514,,
49265993 0.000054227,774,6,760,64,720,6779,22,52514,,
49266579 0.000054578,60,6,40,125,0,8212,52514,22,,
49267163 0.000002723,774,6,760,64,720,6779,22,52514,,
49267742 0.000003611,102,6,88,64,48,6779,22,52514,,
49268394 0.000051933,60,6,40,125,0,8208,52514,22,,
49269000 0.000000015,60,6,40,125,0,8208,52514,22,,
49269651 0.000001708,678,6,664,64,624,6779,22,52514,,
49270245 0.000048580,726,6,712,64,672,6779,22,52514,,
49270839 0.000006323,102,6,88,64,48,6779,22,52514,,
49271469 0.000055740,918,6,904,64,864,6779,22,52514,,
49272129 0.000052215,60,6,40,125,0,8212,52514,22,,
49272740 0.000002243,294,6,280,64,240,6779,22,52514,,
49273361 0.000005965,102,6,88,64,48,6779,22,52514,,
49273955 0.000046652,60,6,40,125,0,8210,52514,22,,
49274541 0.000001878,582,6,568,64,528,6779,22,52514,,
49275124 0.000003584,102,6,88,64,48,6779,22,52514,,
49275705 0.000050643,726,6,712,64,672,6779,22,52514,,
49276388 0.000053534,774,6,760,64,720,6779,22,52514,,
49648379 0.000000299,60,6,40,125,0,8207,52514,22,,
49649336 0.000003980,102,6,88,64,48,6779,22,52514,,
49655225 0.000052312,774,6,760,64,720,6779,22,52514,,
49658578 0.000051129,60,6,40,125,0,8212,52514,22,,
49659391 0.000000490,630,6,616,64,576,6779,22,52514,,
49660166 0.000043839,678,6,664,64,624,6779,22,52514,,
49660985 0.000008493,60,6,40,125,0,8210,52514,22,,
49661817 0.000001131,198,6,184,64,144,6779,22,52514,,
49662625 0.000015557,246,6,232,64,192,6779,22,52514,,
49663493 0.000036157,60,6,40,125,0,8207,52514,22,,
49664485 0.000001774,582,6,568,64,528,6779,22,52514,,
49665313 0.000003412,102,6,88,64,48,6779,22,52514,,
49673697 0.000052628,918,6,904,64,864,6779,22,52514,,
49674523 0.000052277,60,6,40,125,0,8212,52514,22,,
49675319 0.000001673,678,6,664,64,624,6779,22,52514,,
49676086 0.000003385,102,6,88,64,48,6779,22,52514,,
49676882 0.000048838,60,6,40,125,0,8210,52514,22,,
49677682 0.000001300,822,6,808,64,768,6779,22,52514,,
49678471 0.000003509,102,6,88,64,48,6779,22,52514,,
49679286 0.000051034,870,6,856,64,816,6779,22,52514,,
49680217 0.000053711,60,6,40,125,0,8207,52514,22,,
49682084 0.000001368,822,6,808,64,768,6779,22,52514,,
49689406 0.000003294,102,6,88,64,48,6779,22,52514,,
49690206 0.000051440,60,6,40,125,0,8212,52514,22,,
49691003 0.000001529,726,6,712,64,672,6779,22,52514,,
49691799 0.000057532,630,6,616,64,576,6779,22,52514,,
49692619 0.000050354,60,6,40,125,0,8207,52514,22,,
49693411 0.000003051,534,6,520,64,480,6779,22,52514,,
49694199 0.000003610,102,6,88,64,48,6779,22,52514,,
49694962 0.000045874,60,6,40,125,0,8212,52514,22,,
49695834 0.000001540,678,6,664,64,624,6779,22,52514,,
49699410 0.000003188,102,6,88,64,48,6779,22,52514,,
49705089 0.000052775,774,6,760,64,720,6779,22,52514,,
49705885 0.000052563,60,6,40,125,0,8209,52514,22,,
49706685 0.000001391,774,6,760,64,720,6779,22,52514,,
49707482 0.000057039,390,6,376,64,336,6779,22,52514,,
49708255 0.000048494,438,6,424,64,384,6779,22,52514,,
49709045 0.000003573,60,6,40,125,0,8212,52514,22,,
49709823 0.000002140,102,6,88,64,48,6779,22,52514,,
49710673 0.000002779,102,6,88,64,48,6779,22,52514,,
49711605 0.000049224,60,6,40,125,0,8209,52514,22,,
49717117 0.000000469,678,6,664,64,624,6779,22,52514,,
49720868 0.000049412,726,6,712,64,672,6779,22,52514,,
49721690 0.000004513,60,6,40,125,0,8212,52514,22,,
49722496 0.000001843,102,6,88,64,48,6779,22,52514,,
49723287 0.000002644,102,6,88,64,48,6779,22,52514,,
49724056 0.000051437,678,6,664,64,624,6779,22,52514,,
49724868 0.000057638,486,6,472,64,432,6779,22,52514,,
49725642 0.000052134,60,6,40,125,0,8212,52514,22,,
49726511 0.000055055,60,6,40,125,0,8209,52514,22,,
49727597 0.000138283,60,6,40,125,0,8212,52514,22,,
49735965 0.000000031,60,6,40,125,0,8209,52514,22,,
49736780 0.000065826,60,6,40,125,0,8207,52514,22,,
49737582 0.000082293,60,6,40,125,0,8212,52514,22,,
49738381 0.000061036,60,6,40,125,0,8210,52514,22,,
49739173 0.000059700,60,6,40,125,0,8208,52514,22,,
49739935 0.000018460,77,17,63,63,,,,,36838,53
49740753 0.000010638,77,17,63,63,,,,,36838,53
49741633 0.000081266,60,6,40,125,0,8212,52514,22,,
49742573 0.000055166,60,6,40,125,0,8210,52514,22,,
49745583 0.041914495,230,17,216,52,,,,,53,36838
49751750 0.008731025,60,6,40,125,0,8208,52514,22,,
49752579 0.029009104,168,17,154,52,,,,,53,36838
49753397 0.001172262,74,6,60,63,0,64240,55038,443,,
49754201 0.095962754,118,6,104,64,64,2618,22,52679,,
49755004 0.000516598,74,6,60,47,0,65160,443,55038,,
49755729 0.000682234,66,6,52,63,0,64256,55038,443,,
49756572 0.000497877,359,6,345,63,293,64256,55038,443,,
49757399 0.000711486,83,,,,,,,,,
49758161 0.052295281,60,6,40,125,0,8208,52679,22,,
49763712 0.043235622,66,6,52,47,0,64896,443,55038,,
49767510 0.001340998,1555,6,1541,47,1489,64896,443,55038,,
49768329 0.000702727,66,6,52,63,0,63104,55038,443,,
49769143 0.001768393,664,6,650,63,598,64128,55038,443,,
49769953 0.096279974,66,6,52,47,0,64384,443,55038,,
49770758 0.000520491,608,6,594,47,542,64384,443,55038,,
49771549 0.000636533,66,6,52,63,0,63616,55038,443,,
49772349 0.181663873,763,6,749,47,697,64384,443,55038,,
49773266 0.000669458,66,6,52,63,0,63104,55038,443,,
49774083 0.000461525,118,6,104,64,64,6779,22,52514,,
49782489 0.000044059,118,6,104,64,64,6779,22,52514,,
49783292 0.000064437,118,6,104,64,64,6779,22,52514,,
49784141 0.000042041,102,6,88,64,48,6779,22,52514,,
49784944 0.000048501,150,6,136,64,96,6779,22,52514,,
49785735 0.000063958,198,6,184,64,144,6779,22,52514,,
49786529 0.000009441,60,6,40,125,0,8207,52514,22,,
49787325 0.000023278,102,6,88,64,48,6779,22,52514,,
49788085 0.000017627,60,6,40,125,0,8207,52514,22,,
49788889 0.000032865,102,6,88,64,48,6779,22,52514,,
49789666 0.000033520,102,6,88,64,48,6779,22,52514,,
49797425 0.000041657,150,6,136,64,96,6779,22,52514,,
49798217 0.000060142,60,6,40,125,0,8212,52514,22,,
49799018 0.000002178,198,6,184,64,144,6779,22,52514,,
49799824 0.000060678,150,6,136,64,96,6779,22,52514,,
49800652 0.000054233,150,6,136,64,96,6779,22,52514,,
49801445 0.000050728,60,6,40,125,0,8211,52514,22,,
49802251 0.000009843,102,6,88,64,48,6779,22,52514,,
49803016 0.000009281,102,6,88,64,48,6779,22,52514,,
49803860 0.000043216,150,6,136,64,96,6779,22,52514,,
49804753 0.000053784,60,6,40,125,0,8210,52514,22,,
49805781 0.000005632,198,6,184,64,144,6779,22,52514,,
49813658 0.000057414,150,6,136,64,96,6779,22,52514,,
49814479 0.000050088,60,6,40,125,0,8210,52514,22,,
49815275 0.000000107,60,6,40,125,0,8209,52514,22,,
49816048 0.000005592,198,6,184,64,144,6779,22,52514,,
49816851 0.000053135,150,6,136,64,96,6779,22,52514,,
49817656 0.000054944,150,6,136,64,96,6779,22,52514,,
49818462 0.000042887,198,6,184,64,144,6779,22,52514,,
49819254 0.000011846,60,6,40,125,0,8208,52514,22,,
49819973 0.000012782,102,6,88,64,48,6779,22,52514,,
49820927 0.000040338,150,6,136,64,96,6779,22,52514,,
49829047 0.000055416,198,6,184,64,144,6779,22,52514,,
49829925 0.000004526,60,6,40,125,0,8207,52514,22,,
49830721 0.000062498,102,6,88,64,48,6779,22,52514,,
49831513 0.000052901,60,6,40,125,0,8212,52514,22,,
49832274 0.000007603,102,6,88,64,48,6779,22,52514,,
49833079 0.000010716,102,6,88,64,48,6779,22,52514,,
49833890 0.000036338,60,6,40,125,0,8212,52514,22,,
49834674 0.000006827,102,6,88,64,48,6779,22,52514,,
49835480 0.000014003,102,6,88,64,48,6779,22,52514,,
49836540 0.000041484,150,6,136,64,96,6779,22,52514,,
49844723 0.000052456,60,6,40,125,0,8211,52514,22,,
49845531 0.000000065,60,6,40,125,0,8211,52514,22,,
49846326 0.000009271,150,6,136,64,96,6779,22,52514,,
49847123 0.000051215,102,6,88,64,48,6779,22,52514,,
49847868 0.000052992,60,6,40,125,0,8210,52514,22,,
49848686 0.000012871,102,6,88,64,48,6779,22,52514,,
49849477 0.000043291,60,6,40,125,0,8209,52514,22,,
49850278 0.000008181,102,6,88,64,48,6779,22,52514,,
49851069 0.000012844,102,6,88,64,48,6779,22,52514,,
49851816 0.000040167,150,6,136,64,96,6779,22,52514,,
49857484 0.000040217,198,6,184,64,144,6779,22,52514,,
49860883 0.000025502,102,6,88,64,48,6779,22,52514,,
49861686 0.000043216,60,6,40,125,0,8209,52514,22,,
49862501 0.000000787,150,6,136,64,96,6779,22,52514,,
49863290 0.000055735,60,6,40,125,0,8209,52514,22,,
49864046 0.000008334,150,6,136,64,96,6779,22,52514,,
49864850 0.000011978,102,6,88,64,48,6779,22,52514,,
49865669 0.000041537,150,6,136,64,96,6779,22,52514,,
49866455 0.000040675,198,6,184,64,144,6779,22,52514,,
49867198 0.000018638,60,6,40,125,0,8208,52514,22,,
49871899 0.000000066,60,6,40,125,0,8207,52514,22,,
49876309 0.000008101,102,6,88,64,48,6779,22,52514,,
49877131 0.000047108,150,6,136,64,96,6779,22,52514,,
49877927 0.000057349,60,6,40,125,0,8207,52514,22,,
49878730 0.000004471,198,6,184,64,144,6779,22,52514,,
49879526 0.000050886,60,6,40,125,0,8212,52514,22,,
49880287 0.000008301,150,6,136,64,96,6779,22,52514,,
49881094 0.000012532,102,6,88,64,48,6779,22,52514,,
49881855 0.000036892,60,6,40,125,0,8211,52514,22,,
49882758 0.000007029,150,6,136,64,96,6779,22,52514,,
49887168 0.000013486,102,6,88,64,48,6779,22,52514,,
49891894 0.000042071,198,6,184,64,144,6779,22,52514,,
49892706 0.000057785,150,6,136,64,96,6779,22,52514,,
49893499 0.000041355,198,6,184,64,144,6779,22,52514,,
49894293 0.000011778,60,6,40,125,0,8210,52514,22,,
49895037 0.000014626,102,6,88,64,48,6779,22,52514,,
49895767 0.000041471,60,6,40,125,0,8210,52514,22,,
49896582 0.000008203,102,6,88,64,48,6779,22,52514,,
49897332 0.000047282,60,6,40,125,0,8209,52514,22,,
49898394 0.000018546,102,6,88,64,48,6779,22,52514,,
49902750 0.000045429,150,6,136,64,96,6779,22,52514,,
49907415 0.000053477,60,6,40,125,0,8208,52514,22,,
49908249 0.000000076,60,6,40,125,0,8208,52514,22,,
49909062 0.000005831,198,6,184,64,144,6779,22,52514,,
49909870 0.000053550,150,6,136,64,96,6779,22,52514,,
49910666 0.000041611,198,6,184,64,144,6779,22,52514,,
49911390 0.000011113,60,6,40,125,0,8207,52514,22,,
49912145 0.000013769,102,6,88,64,48,6779,22,52514,,
49912985 0.000042256,150,6,136,64,96,6779,22,52514,,
49913781 0.000062882,150,6,136,64,96,6779,22,52514,,
49916563 0.000051540,60,6,40,125,0,8206,52514,22,,
49922695 0.000002703,198,6,184,64,144,6779,22,52514,,
49923493 0.000054900,60,6,40,125,0,8212,52514,22,,
49924319 0.000010337,150,6,136,64,96,6779,22,52514,,
49925138 0.000008375,102,6,88,64,48,6779,22,52514,,
49925945 0.000042761,102,6,88,64,48,6779,22,52514,,
49926741 0.000052406,60,6,40,125,0,8211,52514,22,,
49927541 0.000069909,60,6,40,125,0,8210,52514,22,,
49928339 0.000054157,60,6,40,125,0,8210,52514,22,,
49929268 0.000049171,102,6,88,64,48,6779,22,52514,,
49931489 0.000011640,118,6,104,64,64,6779,22,52514,,
49938275 0.000009430,118,6,104,64,64,6779,22,52514,,
49939093 0.000013792,150,6,136,64,96,6779,22,52514,,
49939950 0.000040161,630,6,616,64,576,6779,22,52514,,
49940749 0.000101672,134,6,120,64,80,6779,22,52514,,
49941544 0.000004375,60,6,40,125,0,8210,52514,22,,
49942350 0.000006793,166,6,152,64,112,6779,22,52514,,
49943144 0.000049995,630,6,616,64,576,6779,22,52514,,
49943980 0.000044898,678,6,664,64,624,6779,22,52514,,
49944757 0.000006667,60,6,40,125,0,8209,52514,22,,
49946233 0.000001901,150,6,136,64,96,6779,22,52514,,
49953655 0.000002542,102,6,88,64,48,6779,22,52514,,
49954495 0.000050997,774,6,760,64,720,6779,22,52514,,
49955282 0.000050778,822,6,808,64,768,6779,22,52514,,
49956037 0.000003638,60,6,40,125,0,8212,52514,22,,
49956832 0.000001664,102,6,88,64,48,6779,22,52514,,
49957627 0.000002669,102,6,88,64,48,6779,22,52514,,
49958424 0.000054039,726,6,712,64,672,6779,22,52514,,
49959237 0.000049488,60,6,40,125,0,8210,52514,22,,
49960308 0.000001410,726,6,712,64,672,6779,22,52514,,
49961148 0.000003315,102,6,88,64,48,6779,22,52514,,
49969247 0.000048186,60,6,40,125,0,8207,52514,22,,
49970045 0.000001503,822,6,808,64,768,6779,22,52514,,
49970853 0.000003381,102,6,88,64,48,6779,22,52514,,
49971675 0.000050941,246,6,232,64,192,6779,22,52514,,
49972513 0.000025620,294,6,280,64,240,6779,22,52514,,
49973312 0.000027640,60,6,40,125,0,8212,52514,22,,
49974115 0.000001294,486,6,472,64,432,6779,22,52514,,
49974927 0.000038491,534,6,520,64,480,6779,22,52514,,
49975929 0.000013495,60,6,40,125,0,8209,52514,22,,
49979307 0.000002672,246,6,232,64,192,6779,22,52514,,
49985145 0.000002715,102,6,88,64,48,6779,22,52514,,
49985940 0.000049857,726,6,712,64,672,6779,22,52514,,
49986744 0.000051699,774,6,760,64,720,6779,22,52514,,
49987485 0.000001642,60,6,40,125,0,8212,52514,22,,
49988249 0.000003130,102,6,88,64,48,6779,22,52514,,
49989045 0.000052436,678,6,664,64,624,6779,22,52514,,
49989851 0.000000381,60,6,40,125,0,8209,52514,22,,
49990675 0.000047259,726,6,712,64,672,6779,22,52514,,
49991428 0.000007179,102,6,88,64,48,6779,22,52514,,
49992129 0.000053149,60,6,40,125,0,8212,52514,22,,
50000496 0.000000014,60,6,40,125,0,8211,52514,22,,
50001293 0.000001904,870,6,856,64,816,6779,22,52514,,
50002086 0.000002483,102,6,88,64,48,6779,22,52514,,
50002889 0.000054185,822,6,808,64,768,6779,22,52514,,
50003678 0.000051463,60,6,40,125,0,8207,52514,22,,
50004517 0.000000840,726,6,712,64,672,6779,22,52514,,
50005314 0.000049387,774,6,760,64,720,6779,22,52514,,
50006144 0.000006625,102,6,88,64,48,6779,22,52514,,
50007175 0.000054701,918,6,904,64,864,6779,22,52514,,
50011290 0.000053866,60,6,40,125,0,8212,52514,22,,
50016354 0.000001536,774,6,760,64,720,6779,22,52514,,
50017159 0.000003538,102,6,88,64,48,6779,22,52514,,
50017970 0.000049827,60,6,40,125,0,8210,52514,22,,
50018761 0.000001918,358,6,344,64,304,6779,22,52514,,
50019550 0.000003524,102,6,88,64,48,6779,22,52514,,
50020313 0.000049185,60,6,40,125,0,8207,52514,22,,
50021115 0.000001495,582,6,568,64,528,6779,22,52514,,
50022042 0.000003350,102,6,88,64,48,6779,22,52514,,
50022904 0.000052816,294,6,280,64,240,6779,22,52514,,
50030105 0.000035159,310,6,296,64,256,6779,22,52514,,
50032136 0.000014526,60,6,40,125,0,8212,52514,22,,
50032947 0.000001650,246,6,232,64,192,6779,22,52514,,
50033770 0.000002649,102,6,88,64,48,6779,22,52514,,
50034563 0.000053117,774,6,760,64,720,6779,22,52514,,
50035354 0.000052280,60,6,40,125,0,8206,52514,22,,
50036122 0.000001835,678,6,664,64,624,6779,22,52514,,
50036900 0.000003301,102,6,88,64,48,6779,22,52514,,
50038074 0.000048163,60,6,40,125,0,8212,52514,22,,
50041526 0.000001292,822,6,808,64,768,6779,22,52514,,
50047386 0.000003442,102,6,88,64,48,6779,22,52514,,
50048239 0.000050927,870,6,856,64,816,6779,22,52514,,
50049055 0.000058369,630,6,616,64,576,6779,22,52514,,
50049858 0.000049724,60,6,40,125,0,8212,52514,22,,
50050658 0.000052754,60,6,40,125,0,8210,52514,22,,
50051398 0.000055284,60,6,40,125,0,8209,52514,22,,
50052158 0.000055467,60,6,40,125,0,8207,52514,22,,
50052935 0.000078519,60,6,40,125,0,8212,52514,22,,
50053869 0.000058556,60,6,40,125,0,8209,52514,22,,
50060064 0.000066414,60,6,40,125,0,8212,52514,22,,
50063199 0.000134284,60,6,40,125,0,8207,52514,22,,
50064046 0.000669830,102,6,88,64,48,6779,22,52514,,
50064860 0.000014426,150,6,136,64,96,6779,22,52514,,
50065661 0.000007927,102,6,88,64,48,6779,22,52514,,
50066464 0.000051234,438,6,424,64,384,6779,22,52514,,
50067273 0.000040819,486,6,472,64,432,6779,22,52514,,
50068029 0.000012155,198,6,184,64,144,6779,22,52514,,
50068859 0.000019058,246,6,232,64,192,6779,22,52514,,
50069689 0.000034602,438,6,424,64,384,6779,22,52514,,
50077991 0.000039510,486,6,472,64,432,6779,22,52514,,
50078886 0.000013488,60,6,40,125,0,8212,52514,22,,
50079690 0.000001754,246,6,232,64,192,6779,22,52514,,
50080524 0.000025237,294,6,280,64,240,6779,22,52514,,
50081328 0.000029752,390,6,376,64,336,6779,22,52514,,
50082129 0.000043747,438,6,424,64,384,6779,22,52514,,
50082925 0.000008022,60,6,40,125,0,8211,52514,22,,
50083854 0.000003049,102,6,88,64,48,6779,22,52514,,
50084739 0.000007951,102,6,88,64,48,6779,22,52514,,
50085532 0.000043480,60,6,40,125,0,8208,52514,22,,
50093899 0.000001646,678,6,664,64,624,6779,22,52514,,
50094724 0.000003419,102,6,88,64,48,6779,22,52514,,
50095520 0.000049741,60,6,40,125,0,8212,52514,22,,
50096277 0.000001244,822,6,808,64,768,6779,22,52514,,
50097089 0.000003346,102,6,88,64,48,6779,22,52514,,
50097895 0.000050226,60,6,40,125,0,8210,52514,22,,
50098705 0.000002240,390,6,376,64,336,6779,22,52514,,
50099509 0.000040633,438,6,424,64,384,6779,22,52514,,
50100436 0.000010251,60,6,40,125,0,8207,52514,22,,
50102747 0.000001884,198,6,184,64,144,6779,22,52514,,
50109631 0.000002674,102,6,88,64,48,6779,22,52514,,
50110434 0.000051905,60,6,40,125,0,8212,52514,22,,
50111250 0.000001697,630,6,616,64,576,6779,22,52514,,
50112007 0.000051323,678,6,664,64,624,6779,22,52514,,
50112807 0.000049056,726,6,712,64,672,6779,22,52514,,
50113598 0.000005411,60,6,40,125,0,8209,52514,22,,
50114409 0.000001732,102,6,88,64,48,6779,22,52514,,
50115317 0.000002515,102,6,88,64,48,6779,22,52514,,
50116099 0.000048911,60,6,40,125,0,8212,52514,22,,
50120238 0.000000020,60,6,40,125,0,8211,52514,22,,
50124816 0.000000406,582,6,568,64,528,6779,22,52514,,
50125662 0.000041774,630,6,616,64,576,6779,22,52514,,
50126457 0.000010659,60,6,40,125,0,8208,52514,22,,
50127253 0.000001825,198,6,184,64,144,6779,22,52514,,
50128026 0.000002576,102,6,88,64,48,6779,22,52514,,
50128825 0.000053368,870,6,856,64,816,6779,22,52514,,
50129635 0.000052345,60,6,40,125,0,8212,52514,22,,
50130432 0.000001382,822,6,808,64,768,6779,22,52514,,
50131258 0.000003438,102,6,88,64,48,6779,22,52514,,
50132029 0.000052141,678,6,664,64,624,6779,22,52514,,
50139232 0.000050985,60,6,40,125,0,8207,52514,22,,
50141011 0.000002931,246,6,232,64,192,6779,22,52514,,
50141808 0.000043573,294,6,280,64,240,6779,22,52514,,
50142621 0.000008456,102,6,88,64,48,6779,22,52514,,
50143410 0.000052893,60,6,40,125,0,8212,52514,22,,
50144178 0.000001823,726,6,712,64,672,6779,22,52514,,
50144979 0.000003336,102,6,88,64,48,6779,22,52514,,
50145763 0.000051753,774,6,760,64,720,6779,22,52514,,
50146543 0.000055348,774,6,760,64,720,6779,22,52514,,
50147318 0.000056080,630,6,616,64,576,6779,22,52514,,
50154040 0.000051830,60,6,40,125,0,8212,52514,22,,
50156578 0.000002020,582,6,568,64,528,6779,22,52514,,
50157384 0.000003686,102,6,88,64,48,6779,22,52514,,
50158180 0.000051435,726,6,712,64,672,6779,22,52514,,
50158973 0.000055146,774,6,760,64,720,6779,22,52514,,
50159765 0.000056066,774,6,760,64,720,6779,22,52514,,
50160590 0.000052398,534,6,520,64,480,6779,22,52514,,
50161419 0.000042487,582,6,568,64,528,6779,22,52514,,
50162274 0.000009830,60,6,40,125,0,8212,52514,22,,
50163083 0.000001404,198,6,184,64,144,6779,22,52514,,
50169299 0.000020250,246,6,232,64,192,6779,22,52514,,
50172209 0.000033343,60,6,40,125,0,8207,52514,22,,
50173015 0.000001790,486,6,472,64,432,6779,22,52514,,
50173813 0.000003474,102,6,88,64,48,6779,22,52514,,
50174609 0.000049556,60,6,40,125,0,8212,52514,22,,
50175340 0.000001285,774,6,760,64,720,6779,22,52514,,
50176114 0.000057338,294,6,280,64,240,6779,22,52514,,
50176879 0.000106951,60,6,40,125,0,8207,52514,22,,
50177707 0.000053453,60,6,40,125,0,8212,52514,22,,
50178556 0.000053677,60,6,40,125,0,8209,52514,22,,
50183704 0.000060882,60,6,40,125,0,8207,52514,22,,
50187548 0.000108317,60,6,40,125,0,8212,52514,22,,
50188439 0.126403422,118,6,104,64,64,6779,22,52514,,
50189236 0.000013154,166,6,152,64,112,6779,22,52514,,
50190040 0.000060450,726,6,712,64,672,6779,22,52514,,
50190843 0.000053591,774,6,760,64,720,6779,22,52514,,
50191647 0.000067353,198,6,184,64,144,6779,22,52514,,
50192547 0.000064625,134,6,120,64,80,6779,22,52514,,
50193548 0.000012121,182,6,168,64,128,6779,22,52514,,
50194344 0.000031095,438,6,424,64,384,6779,22,52514,,
50201546 0.000033163,454,6,440,64,400,6779,22,52514,,
50203397 0.000017004,60,6,40,125,0,8211,52514,22,,
50204232 0.000002705,294,6,280,64,240,6779,22,52514,,
50205022 0.000057096,150,6,136,64,96,6779,22,52514,,
50205827 0.000059960,60,6,40,125,0,8212,52514,22,,
50206624 0.000053553,60,6,40,125,0,8210,52514,22,,
50207436 0.000008661,102,6,88,64,48,6779,22,52514,,
50208204 0.000023708,134,6,120,64,80,6779,22,52514,,
50209037 0.000027509,60,6,40,125,0,8208,52514,22,,
