state,frame.time_delta,frame.len,ip.proto,ip.len,ip.ttl,tcp.len,tcp.window_size,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1,0.000001,70,6,52,32,0,65535,443,10236,,
1,0,1456,6,1438,32,1386,30408,45885,443,,
1,0.000002,693,6,675,32,623,27512,64942,443,,
1,0.000002,70,6,52,32,0,24616,26174,443,,
1,0.000001,70,6,52,32,0,31856,1094,443,,
1,0,1475,6,1457,32,1405,30408,443,20065,,
1,0.000001,70,6,52,32,0,23168,443,33031,,
1,0.000003,70,6,52,32,0,31856,5404,443,,
1,-0.000001,1475,6,1457,32,1405,30408,443,50332,,
1,0.000002,1095,6,1077,32,1025,65535,443,3243,,
1,0.000001,70,6,52,32,0,23168,443,3281,,
1,0,70,6,52,32,0,23168,443,4287,,
1,0,70,6,52,32,0,31856,443,1862,,
1,0,70,6,52,32,0,31856,443,48869,,
1,0.000003,74,6,56,32,0,5792,80,49023,,
1,0,1439,6,1421,32,1369,23168,64739,443,,
1,0.000001,70,6,52,32,0,7240,80,40800,,
1,0,70,6,52,32,0,7240,80,1345,,
1,0.000001,70,6,52,32,0,65535,443,47495,,
1,0.000002,70,6,52,32,0,30408,443,3299,,
1,0.000001,70,6,52,32,0,7240,80,4763,,
1,0,1439,6,1421,32,1369,23168,60146,443,,
1,0.000002,70,6,52,32,0,65535,443,55421,,
1,-0.000001,1298,6,1280,32,1228,5792,20276,80,,
1,0.000002,70,6,52,32,0,8688,4568,80,,
1,0.000002,70,6,52,32,0,65535,31902,443,,
1,0.000001,70,6,52,32,0,24616,32285,443,,
1,-0.000001,993,6,975,32,923,30408,443,61563,,
1,0.000001,70,6,52,32,0,24616,32007,443,,
1,0,70,6,52,32,0,65535,443,11593,,
1,0.000001,70,6,52,32,0,8688,40103,80,,
1,0.000002,70,6,52,32,0,8688,6708,80,,
1,0,70,6,52,32,0,5792,54930,80,,
1,0.000001,70,6,52,32,0,23168,443,37115,,
1,0,74,6,56,32,0,5792,25789,80,,
1,0,70,6,52,32,0,7240,80,32813,,
1,0.000001,70,6,52,32,0,8688,41259,80,,
1,0.000001,70,6,52,32,0,23168,443,46528,,
