0,1,2,3,4,5,6,7
0,1216859,1319508,778693,427323,1008981,1142488,396880
0,1003007,1101014,635671,260829,973935,1073412,242135
0,1154845,1249639,773663,413982,1009642,1151360,374119
0,1187017,1291540,829235,426303,1010923,1139301,395684
0,1049343,1138062,638891,286660,986466,1104312,260656
0,1071517,1159495,666867,272487,969630,1142590,260089
0,1122783,1231956,681397,310309,1067286,1193333,288500
0,1147618,1269400,722026,308205,1076906,1215416,294712
0,1172895,1265624,681885,319270,1067587,1202272,284334
0,1198932,1262203,681604,342673,1074645,1176534,289358
0,1192580,1283997,822980,381979,979914,1115123,369496
0,1050757,1137569,706686,397583,899690,1042931,375158
0,1264368,1347718,890158,401037,1050992,1178433,374189
0,1037309,1142982,725428,341316,906187,1032050,319704
0,1170314,1270636,808425,395508,961747,1069049,370673
0,1225446,1293101,799472,406632,1024298,1154773,387843
0,1151060,1220887,699228,284826,1025412,1140405,265865
0,1049536,1148094,633993,275899,962564,1090463,241412
0,1143706,1226048,715555,327869,1053933,1177638,276904
0,1040392,1141529,643016,289651,1034151,1151135,268340
0,1114590,1206582,677686,311091,1028034,1168708,285885
0,1161676,1210422,632719,276442,1009198,1118028,257034
0,1215880,1311903,809688,437903,1025612,1169509,400147
0,1088274,1178639,741954,401477,939295,1061953,380401
0,1262679,1370980,848614,440140,1066104,1188732,416854
0,1018848,1119512,718578,363958,862159,971984,349613
0,1157713,1261695,807283,421079,970669,1119387,394511
0,1200111,1311039,842008,406659,1011135,1161973,382831
0,1067711,1151847,636198,269265,989602,1125629,246783
0,1030542,1128842,605989,242014,967138,1098481,229853
0,1091889,1196200,686963,280391,999199,1111169,251206
0,1078501,1178738,663889,312015,1009452,1135735,282427
0,1135587,1230423,666565,272017,1036403,1155139,245153
0,1135789,1231834,674107,304341,1047036,1190243,254710
0,1026624,1076758,651419,240147,941986,1030496,226820
0,1155628,1267191,771585,398701,977118,1107497,366851
0,1236652,1328073,824541,389806,1026959,1149115,373582
0,1007439,1118899,674255,368935,844453,980772,356832
0,1152484,1255022,764175,416305,975471,1108474,394384
0,1163300,1274748,790193,423821,983801,1099240,394850
0,1252790,1311312,818890,413163,1022540,1131146,383282
0,1062294,1156931,667861,323549,991925,1117819,268864
0,1086712,1191821,690730,260609,1029672,1151745,247064
0,1118466,1231646,667609,322852,1076068,1198519,287063
0,1145072,1225784,674256,305517,1077907,1208205,271376
0,1145233,1243340,681412,333670,1067012,1200470,310361
0,1158227,1238197,673249,299325,1056301,1177073,266470
0,1209355,1309277,779628,421705,998554,1112524,413390
0,1264187,1357187,855589,407657,1068933,1210812,389128
0,1086996,1172300,741512,398402,937887,1063214,368670
0,1187037,1294852,845463,360594,1052197,1197166,342512
0,1187921,1295305,786060,414107,1021462,1162587,387669
0,1158609,1222242,753737,373751,890760,1030942,362319
0,1033817,1121512,609936,284673,975322,1098021,266756
0,1111545,1202313,644527,319389,1046517,1172835,287791
0,1057014,1137164,675631,239797,994399,1128954,222244
0,1116549,1188494,682295,347140,1031868,1169523,307805
0,1132729,1212194,686206,286624,1081025,1203436,251387
0,1178649,1263845,718246,297684,1075308,1216317,273014
