0,1,2,3,4,5,6,7
0,1293972,1358451,826353,427516,1045338,1148655,409628
0,1051151,1124527,634990,263810,970358,1084762,241015
0,1063684,1170174,752228,375459,899385,1040976,346518
0,1114363,1202410,664426,294643,1031795,1182777,278549
0,1128381,1235559,782213,376240,936891,1066210,363592
0,1088371,1171720,641732,286866,1010568,1136329,259937
0,1081139,1200880,658619,277298,1036827,1165509,255120
0,1090292,1186402,682550,298958,1017074,1132025,254076
0,1056427,1156186,639660,300028,1000629,1116934,273801
0,1223129,1314520,799195,426123,1062550,1202597,403945
0,1038828,1153989,642954,298349,979647,1118028,267022
0,1122796,1210875,746330,397492,934097,1065788,377654
0,1241196,1338966,831463,428140,1028310,1147221,401383
0,1013084,1107622,712672,361087,837859,983955,331719
0,1166246,1264751,777916,428244,986589,1133377,403918
0,1149305,1254310,717620,325739,1071875,1190344,276245
0,1083815,1175393,685839,261565,1002870,1154106,239645
0,1057129,1125269,643012,296278,990044,1104306,277958
0,1129775,1233236,667040,289666,1038765,1161411,260165
0,4266626,4601709,2785582,1299987,3727826,4197037,1232457
0,1064918,1149625,625032,320441,976760,1100219,276005
0,1171663,1247114,776843,381924,969422,1112933,358359
0,1068641,1165256,756361,377663,918468,1057557,355941
0,1010908,1111292,625068,238585,978465,1105466,226974
0,3864878,4150697,2560742,1354338,3201481,3613871,1236552
0,1138477,1221587,729681,369018,1021714,1136086,330744
0,1150378,1234728,685763,317797,1058322,1192498,286755
0,1123205,1212406,654247,282444,1027159,1139311,270318
0,1109355,1176221,766134,383864,912690,1043936,359033
0,1076733,1174735,702396,348126,961158,1090131,324260
0,1299892,1372156,851741,433169,1095465,1226947,398053
0,1122697,1232677,790151,408101,978887,1123333,374132
0,1172455,1242386,698148,270119,1031408,1139741,258106
0,1077921,1171328,634514,298447,1015175,1157294,282168
0,1123469,1225372,697617,282047,1055348,1189137,260803
0,1190750,1274024,676042,330316,1087675,1227546,293578
0,1127788,1270143,708823,330154,1088132,1229595,291987
0,1093580,1204017,775955,378574,934207,1048273,362305
0,1054568,1138004,644049,272816,941488,1061516,248322
0,1029301,1114239,715874,399093,884439,1031740,374322
0,1023430,1090959,691785,375746,815938,944364,347185
0,1147222,1267518,808295,401921,996194,1139889,375725
