0,1,2,3,4,5,6,7
0,3991685,4262423,728878,45211,3307163,1896212,44939
0,3967165,4236078,724938,45442,3285441,1885012,45080
0,3997282,4267321,729335,44899,3309519,1898218,44700
0,3969638,4238978,724597,44649,3288866,1886322,44466
0,3975727,4245736,725543,44779,3293483,1888410,44504
0,3975242,4246002,725380,44774,3293711,1888469,44396
0,3867065,4129507,706201,44037,3203607,1837021,43624
0,3985695,4256276,727305,44805,3301471,1893148,44583
0,3970557,4239770,725221,45325,3289065,1886254,44812
0,3994589,4265003,728979,44863,3308811,1897129,44670
0,3965552,4234851,725627,46294,3285427,1885682,45527
0,3979315,4249552,726012,44611,3296240,1889743,44449
0,3984358,4254718,727473,45448,3299278,1892494,44952
0,3996960,4268175,729338,44926,3309959,1898020,44704
0,3963369,4233154,723532,44738,3283750,1882900,44453
0,3988819,4259707,728082,44848,3303530,1894610,44646
0,3971671,4241589,724867,44707,3290286,1886655,44479
0,3956106,4223592,721595,44419,3275739,1878883,44254
0,3995184,4266713,729410,45315,3308680,1898123,44898
0,3990464,4261536,729191,45857,3305292,1896458,45324
0,3985279,4255825,727209,44721,3300871,1892818,44511
0,3962397,4231182,723429,44945,3281825,1882364,44505
0,3973771,4244116,725153,44704,3291662,1887481,44445
0,3960282,4227969,722337,44529,3278932,1880921,44264
0,3954995,4223642,722230,45040,3276110,1878912,44622
0,3978579,4248565,725945,44705,3295689,1889559,44475
0,3986014,4256820,727440,45001,3302903,1893310,44608
0,4002897,4274265,730387,44894,3315721,1901088,44734
0,3972152,4241632,724984,44713,3290420,1886691,44484
0,3981929,4253204,726546,44711,3298676,1891333,44519
0,3975961,4245934,726156,45458,3293137,1889028,44911
0,3994139,4265402,728816,44838,3309324,1897464,44617
0,3952417,4220874,721226,44588,3273912,1877693,44286
0,3979566,4249240,726326,45103,3296545,1889865,44657
0,3979396,4248306,726097,44772,3294647,1889500,44523
0,3964033,4232226,723245,44624,3283131,1883022,44383
0,3967990,4237099,725554,46269,3285815,1885919,45546
0,3981091,4251028,726317,44748,3297556,1890689,44464
0,3996828,4267656,729431,44996,3311782,1898229,44722
0,3952313,4219902,721480,44651,3273444,1877190,44380
0,3997083,4267960,729399,44963,3310750,1898279,44681
0,3969847,4239766,724332,44578,3288015,1885332,44386
0,3951207,4218904,721394,44884,3271954,1876770,44568
0,3984219,4255221,727047,44723,3300462,1892605,44495
0,3986413,4257846,727368,44671,3302466,1893516,44510
0,3985108,4256556,728543,45792,3301647,1894228,45323
0,3962108,4231222,723262,44588,3282488,1881958,44432
0,3981022,4251319,726209,44889,3297221,1890850,44515
0,3971830,4241303,725084,45149,3289799,1886596,44733
0,3991002,4261029,728325,44938,3305523,1895248,44694
0,3979713,4250794,726377,45014,3296066,1890435,44627
0,3984240,4255026,727277,44894,3300348,1892906,44532
0,3979146,4248412,726023,44746,3296583,1889592,44527
0,3958738,4226944,722198,44458,3278450,1880207,44311
0,3955679,4223555,723277,45995,3276632,1880045,45328
0,3976923,4246371,725562,44704,3293322,1888391,44516
0,3981641,4251819,726522,44949,3298328,1891287,44548
0,3967081,4236700,724169,44806,3286603,1884655,44496
0,3993939,4264930,728771,44959,3307569,1896597,44729
0,3985829,4256284,727166,44797,3301526,1893059,44492
0,3945380,4213510,720556,44921,3268609,1874165,44525
0,3992220,4262762,728377,44890,3307333,1896121,44603
0,3978327,4248170,726684,45347,3294843,1890467,45118
0,3968754,4237153,724101,44647,3286077,1884747,44383
0,3962159,4231363,723132,44668,3282567,1882332,44416
0,3978478,4248262,725835,44714,3295744,1889729,44462
0,3989617,4260702,728484,45563,3305130,1894998,45020
0,3938057,4204632,718545,44190,3260726,1869901,44015
0,3963150,4232906,723016,44573,3283127,1882243,44342
0,3982028,4252147,726653,44718,3298042,1891341,44505
0,3997730,4269278,729456,44894,3311647,1898883,44692
0,3940242,4207566,719755,44972,3264218,1872737,44720
0,4010692,4282876,732423,45732,3321870,1904936,45235
0,3998189,4269702,729726,44991,3312065,1899091,44738
0,3999066,4270209,729809,45066,3312664,1899576,44727
0,3971267,4240737,724793,44691,3290660,1886582,44502
0,3985755,4255676,727145,44872,3301641,1892918,44600
0,3972495,4241524,724835,44721,3290291,1886698,44426
0,3950051,4218279,721298,44974,3271590,1876852,44557
0,3972837,4242459,725064,44806,3290405,1886903,44451
0,3983812,4254523,727798,45421,3300419,1892956,45163
0,3978999,4247847,726037,44691,3295811,1889506,44532
0,3971583,4240791,724854,44741,3290176,1886680,44523
0,3971488,4241204,724558,44539,3289185,1886191,44374
0,3980840,4249656,726593,45241,3296023,1890455,44729
0,3963337,4232838,723251,44596,3283089,1882373,44408
0,3976973,4245849,725505,44656,3293329,1888361,44456
0,3985371,4255939,727320,44735,3302142,1893343,44571
0,3986963,4257452,727421,44846,3302005,1893493,44541
0,3975551,4244675,725271,44684,3292063,1888537,44489
0,3982119,4252666,727117,45596,3298815,1891707,44995
0,3978825,4249340,726234,44795,3295165,1889978,44546
0,3987911,4259471,727706,44742,3303914,1894311,44582
0,3964072,4233506,723593,44815,3284191,1883225,44447
0,3963967,4233613,723473,44619,3283757,1883204,44392
0,3977437,4247413,725664,44603,3293468,1889059,44416
0,3973594,4243137,725308,45111,3290084,1887287,44700
0,3972033,4241396,726545,46101,3290129,1888499,45504
0,3985720,4257017,727276,44666,3301642,1893041,44568
0,3972570,4241647,726005,45266,3291076,1887656,44999
0,3977285,4247550,725832,44868,3294154,1889131,44543
0,3989033,4260044,727671,44918,3304231,1894948,44567
0,3985018,4254704,727426,45187,3299489,1892685,44864
0,3954575,4222515,721610,44447,3275440,1878174,44244
0,3964403,4233141,723244,44436,3283220,1882819,44290
0,3977618,4247758,725883,44701,3294403,1889098,44488
0,3963594,4232819,724233,45572,3283359,1883806,44973
0,3976110,4246534,726445,45122,3293961,1889335,45000
0,3974423,4244024,725871,45447,3292407,1888206,44881
0,3963384,4232187,723286,44557,3282427,1882640,44395
0,3972059,4242026,724860,44736,3290318,1886744,44452
0,3977157,4247572,725894,44913,3294200,1889121,44612
0,3975676,4245672,725336,44812,3292828,1888110,44431
0,3985290,4254720,726957,44757,3300684,1892140,44517
0,3961201,4230532,723139,44950,3281170,1881734,44559
