0,1,2,3,4,5,6,7
0,1117608,1192116,756883,384155,936858,1063576,365320
0,1111943,1191791,668620,269308,997526,1122005,252778
0,1217865,1267420,733375,312489,1122547,1240611,278867
0,1234706,1355032,807415,449146,1023779,1159468,423904
0,1148362,1201113,699911,279520,1031557,1170310,247890
0,1117822,1235695,714768,300580,1049170,1186050,264788
0,1065437,1137345,644673,299353,993313,1103623,262478
0,1228244,1322729,827602,418071,1052817,1213081,389407
0,1265019,1354913,829216,422178,1053368,1174427,390720
0,1156730,1269432,727450,320639,1072966,1197531,292204
0,1217791,1309082,803854,391339,1020318,1149193,374362
0,1257337,1339498,830997,392249,1019231,1140847,376281
0,1201847,1278663,825855,429839,972680,1107229,393983
0,1142112,1258730,681604,308506,1042183,1155038,275872
0,1120627,1219659,697615,303927,1071291,1224315,278067
0,1218026,1335355,843406,402129,995919,1135792,376038
0,1143012,1234250,689728,273025,1057011,1194304,250330
0,1087487,1208840,667604,298203,1030681,1154111,281065
0,1032722,1146421,643632,258465,980093,1090734,242119
0,1275660,1370077,888517,457368,1072118,1225061,406409
0,1289561,1370722,825239,419112,1058673,1173538,405229
0,1114584,1213924,664202,311566,1028791,1145437,262554
0,1210847,1318802,781441,438099,1040458,1186033,411092
0,1231346,1356849,838144,416958,1050529,1183197,389459
0,1129904,1242092,674359,313348,1052383,1199137,271782
0,1176289,1223144,668663,287290,1062412,1160306,261527
0,1146194,1262885,692581,313081,1050712,1170347,284978
0,1236612,1347335,824951,439915,1045425,1181944,407315
0,1162201,1220971,677527,298190,1054272,1156923,270092
0,1160830,1252655,677326,323162,1045176,1185782,294019
0,1074444,1160537,713328,403841,873711,999094,377888
0,1216313,1309279,799143,478410,1036433,1156422,441778
0,1263496,1354685,809861,440776,1035397,1153584,412123
0,1111289,1201108,695457,309309,1024046,1144272,265195
0,1174624,1276536,816541,408626,979490,1129238,378909
0,1240888,1331427,809832,446647,1018341,1125736,407700
0,1110065,1217430,683686,308373,1057956,1196867,284736
0,1124352,1200194,652781,318040,1033658,1146999,293307
0,1173797,1266686,727838,332723,1036912,1186750,303282
0,1251709,1333426,824860,430193,1033146,1175953,403196
0,1119834,1227397,683848,284171,1063543,1182389,261380
0,1146077,1267188,720258,304854,1104399,1227957,277805
0,1044771,1140326,704109,366633,879079,994997,353108
0,1188838,1270782,814275,426260,998675,1139378,393800
0,1188920,1255882,719328,377273,998800,1105049,349516
0,1081225,1174775,649091,311572,1042260,1146946,275082
0,1151788,1240646,760127,394821,995463,1168148,372072
0,1274800,1350607,840292,409937,1049689,1184189,381140
0,1120417,1216449,656736,316036,1017752,1129893,284058
0,1108982,1223806,669413,331176,1041229,1178413,288730
0,1226786,1325413,807811,380264,1038988,1156989,359473
0,1253681,1348539,812340,418565,1062324,1198986,387233
0,1165935,1254133,720815,316114,1093686,1220464,294218
0,1106128,1176512,644705,314259,1000304,1126124,290150
0,1013651,1109970,695723,367267,868513,1016759,326643
0,1012748,1077598,632020,292968,945384,1067603,268824
0,1125833,1208432,712301,306172,1045020,1174455,264640
0,1233592,1350775,808715,378804,1050197,1173204,359294
0,1257612,1362027,826672,419695,1035615,1171647,395728
0,1204763,1303762,930404,501038,920617,1072149,476928
0,1129863,1204790,663909,362901,1014058,1137576,321337
0,1017006,1096034,595776,280954,906785,1030344,252884
0,1202885,1301244,819895,421011,1005227,1117836,392969
0,1087906,1215777,643525,280231,1057162,1196028,249902
0,1060943,1176620,666257,302550,1025344,1172570,262785
0,1124761,1214925,664851,265833,1034060,1146874,248580
0,1263817,1369723,850295,418459,1036429,1192689,390132
0,1074042,1157883,736098,401285,902964,1070216,379229
0,1073160,1161693,600858,301527,1010809,1141519,275693
0,1204946,1294025,838794,431249,1027387,1184108,401072
0,1203662,1286527,779313,423658,1016752,1133988,393535
0,1083583,1167692,725986,403969,907124,1033988,384741
0,1090043,1170159,629241,266283,984865,1117843,236751
0,1071867,1143993,634950,286342,970673,1082715,250514
0,1192084,1255134,784493,389037,958214,1052954,366237
0,1093042,1179674,643808,277342,972761,1089559,250587
0,1121657,1198470,698558,298375,1022298,1129050,259245
0,1032346,1136892,636627,263617,977743,1106202,242379
0,1311288,1386643,872366,415982,1083520,1216249,394437
0,1080005,1176167,764579,363504,892245,1050285,333322
0,1131497,1248930,682604,315187,1062931,1201941,280298
0,1177619,1261892,777306,419824,968320,1088488,403237
0,1218527,1305041,823382,396580,1015188,1139408,377253
0,1141319,1222225,822878,372453,958524,1089333,354602
0,1104215,1201198,644149,299772,1009202,1159780,266505
0,1102208,1164680,667749,267929,992592,1093029,251921
0,1243979,1336833,853813,442069,1047367,1152502,406394
0,1097208,1212376,662214,290069,1019490,1155112,268394
0,1102516,1209715,690397,298714,1055833,1195791,259138
0,1112989,1184167,666683,319051,1026328,1184328,268567
0,1265169,1365595,831499,434767,1043667,1186335,401757
0,1096920,1174479,734204,394229,916400,1052089,362903
0,1144494,1222277,685339,321986,1036349,1164853,294377
0,1219993,1315369,827147,440966,1057207,1207446,404533
0,1203118,1297904,798961,408939,1012605,1145318,386368
0,1176964,1262382,798260,379333,986156,1144770,362714
0,1155949,1277965,685189,285824,1084071,1214522,266024
0,1005298,1083353,610521,255872,939118,1081067,240947
0,1245146,1341287,823100,451027,1020223,1150432,412547
0,1134549,1234764,716736,304205,1052408,1178176,269627
0,1128061,1234485,694452,302552,1064336,1188946,276307
0,1048256,1165306,674386,272767,991506,1098622,247281
0,1270905,1368397,837668,459047,1031686,1150634,417709
0,1175274,1249419,816537,402555,994000,1129536,368428
0,1119336,1195737,694367,278001,1042056,1151048,267715
0,1236797,1298235,799406,412006,1002962,1132542,397023
0,1252585,1336689,830418,413755,1057513,1209480,388945
0,1086095,1207867,652414,277482,1018822,1137457,255018
0,1165183,1243352,690653,294773,1045500,1126616,268906
0,1054581,1174229,647199,312257,1001969,1125264,282289
