state,1,2,3,4,5,6,7
0,1108358,1192081,620200,300950,1001794,1123720,267603
0,1263902,1314483,799984,444572,986674,1102575,415935
0,1089092,1178915,632315,318179,1009017,1125848,286563
0,1052514,1108163,736425,390615,866319,1010541,367804
0,1041012,1142249,737796,388966,867365,1006717,353605
0,1066386,1152413,652622,307765,995910,1142552,273648
0,1201460,1265724,792876,412322,994295,1137111,378584
0,1087592,1173888,663273,299272,1032247,1173136,263749
0,1012031,1082666,716362,333232,822793,950823,321794
0,1024096,1120068,625053,295659,966814,1089874,267372
0,1044235,1131564,617693,278064,971626,1109241,253676
0,1071446,1159125,712418,385414,906354,1052401,357486
0,1125356,1182397,676435,310445,1026058,1140708,271261
0,1279914,1353476,848089,410176,1056229,1186191,391590
0,1140705,1225118,689399,310419,1066845,1188852,284094
0,1035057,1108332,704213,365442,845477,978944,342642
0,1101929,1181673,670717,251662,985041,1107326,232464
0,1067301,1135484,634355,308697,995192,1106425,268841
0,1252119,1357135,823833,420743,1043162,1157511,388657
0,1123934,1193444,657373,283243,1032571,1160787,260051
0,1038435,1146634,738263,370582,873964,1032238,351196
0,968412,1090856,597839,286486,916910,1044163,266739
0,1044508,1120274,729987,350925,851197,974678,331199
0,1120400,1225227,789735,438943,964701,1124420,402643
0,1089834,1169296,670518,305198,1008488,1146562,276122
0,1247303,1355597,846295,466877,1059574,1184021,428452
0,1119840,1218494,669448,311458,1047444,1153863,283234
0,1142184,1267826,788181,441170,977664,1122883,400039
0,1083966,1139238,677801,262473,966692,1085163,250138
0,1048264,1164996,657404,255781,984244,1118184,237282
0,1223887,1309896,820721,438227,1032251,1167318,386394
0,1138360,1197118,688491,272166,1008682,1126266,252844
0,1050610,1113888,724637,344909,854011,992649,332685
0,1056008,1145193,634373,273568,959854,1084995,245231
0,1025018,1140921,739056,366659,851204,1004120,330227
0,1045628,1144276,644176,262363,978137,1110657,240030
0,987957,1116798,602211,269290,944772,1067271,236835
0,1195854,1284404,811417,413621,979375,1111600,391097
0,1028021,1135711,639055,260620,973927,1095836,231656
0,1151206,1262112,745110,340412,1040699,1203267,319990
0,1124803,1220530,681641,288597,1040120,1176338,262316
0,1285004,1398643,854754,436921,1092135,1246596,411098
0,1043156,1144276,705231,396979,895183,1031629,371019
0,1095877,1222452,680019,263996,1039575,1164611,247472
0,1038646,1122465,704010,408617,876118,988298,362485
0,1016565,1094129,654871,294529,897544,1046121,264519
0,1008517,1109896,703007,373131,836731,969229,351787
0,1042666,1120305,644891,284923,974090,1093933,253250
0,1055571,1141200,640256,275877,989284,1106936,246678
0,1177560,1283910,801227,430457,1020081,1156653,384418
0,1037961,1117690,616072,300004,967232,1092284,266627
0,1086888,1192373,666585,257448,1023520,1158131,237904
0,1106380,1188920,643509,328392,1023683,1147781,283456
0,1257388,1353499,836385,403818,1061401,1200697,374185
0,1035486,1131610,706778,370357,867344,1018071,344269
0,1151176,1244508,686766,335661,1065039,1213518,304114
0,1116515,1212379,775667,418490,966406,1110405,383389
0,984899,1082409,711035,366265,801324,947394,340335
0,988810,1107042,715877,357832,867164,1009103,342841
0,1040815,1116061,646066,245939,967106,1096125,226975
0,1058678,1157555,662823,282560,997794,1104325,261284
0,1032142,1095398,694758,376758,841088,958986,353730
0,1040671,1142632,659635,314894,989164,1096815,283825
0,1055911,1164167,652903,263975,1010248,1122207,230420
0,1026206,1134141,631254,296668,1007113,1137472,268592
0,1217035,1331585,833330,437268,1015942,1150317,411001
0,1027819,1124549,704544,352635,865493,990827,324859
0,1097115,1160782,729737,401105,899266,1027074,365195
0,1067303,1154726,639975,307030,1014050,1137306,273515
0,974027,1073568,690424,352042,811458,968729,334667
0,1048502,1116418,683001,361667,853577,989330,337080
0,1063041,1171013,666635,311777,984869,1099632,273007
0,1024614,1116203,613129,288366,963259,1092202,260067
0,1004451,1090948,617851,254057,925448,1040117,245486
0,1063067,1141548,709408,371163,852189,984704,349801
0,1095572,1202521,679681,308821,1038741,1164058,271734
0,1023707,1133877,610593,300404,962626,1084388,271354
0,1237047,1327661,839912,420801,1017128,1166274,372255
0,1062310,1179623,760296,367867,937216,1056580,344324
0,1083668,1191111,746209,390138,919954,1055731,366413
0,1072185,1156177,626502,330852,1013472,1121781,310026
0,1027993,1123425,738831,406180,882459,1001545,366816
0,1131502,1235412,777114,377144,954079,1086019,345093
0,1075324,1192506,638062,282718,1013166,1163277,256817
0,1025328,1127028,680943,257792,1006616,1145614,238502
0,1018423,1142613,652903,228225,954808,1082993,214134
0,1025963,1101905,719253,344310,830422,959503,334574
0,1077523,1153348,654856,295317,990762,1146210,255028
0,1038446,1147303,645653,295404,962482,1081049,258942
0,1207926,1324648,831246,403705,1015413,1139216,383672
0,1086718,1188782,770679,383130,963002,1114332,359732
0,1093861,1162649,677315,283546,993702,1122659,258589
0,1070056,1141974,632331,262221,985699,1118102,249508
0,1067503,1133046,706726,391047,883991,1016146,375707
0,1099517,1178264,663489,330918,1035094,1163798,301784
0,1136296,1204903,659188,364146,1046013,1197027,313069
0,1063678,1166611,638731,298019,1015070,1146500,266756
0,1083427,1159135,752508,406877,915162,1050612,384928
0,1032922,1109320,699485,378593,871504,1004727,348742
0,991321,1084353,585696,268802,920956,1039306,239634
0,1186986,1278312,759855,448635,995303,1139722,410765
