1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,2572,0,1,0,7,0,15,1,0,1,0,0,0,0,9994,30,6247122026,2653,37,35,86243029944
0,2849,0,6,0,9,0,15,1,0,0,0,0,0,0,10886,37,6738534941,2782,47,49,1.09E+11
0,2462,0,0,0,7,0,15,1,0,0,0,0,0,0,9095,32,5735479758,2464,34,30,88367463810
0,2771,8,0,3,3,2,15,1,0,4,4,0,0,0,10808,32,6657134680,2765,46,49,94306230066
0,2458,8,0,3,3,2,15,5,0,1,0,0,0,0,9840,34,6113380167,2484,42,41,91390807964
0,2739,10,1,5,10,4,17,0,0,0,0,0,0,0,9956,38,6266095026,2576,41,42,1.01E+11
0,2156,4,0,2,10,2,22,1,0,0,0,0,0,0,8952,30,5855691644,2451,50,50,77998287012
0,2938,6,0,2,20,2,23,0,0,0,0,0,0,0,9860,41,6326453824,2748,54,51,1.01E+11
0,2315,4,0,2,29,2,30,2,0,1,0,0,0,0,9319,42,5761146699,2269,39,43,84419824826
0,2246,16,0,6,15,4,37,0,0,0,0,0,0,0,9589,30,5781728129,2279,29,29,84961409486
0,2458,14,3,6,11,4,36,3,0,0,0,0,0,0,9580,41,6102953017,2820,35,32,82532064322
0,2739,14,7,4,25,2,27,2,0,1,0,0,0,0,10163,39,6269976090,2652,57,57,97634379732
0,2715,3,0,1,21,1,7,1,0,0,0,0,0,0,10453,37,6445436248,2589,59,59,1.00E+11
0,2174,5,0,1,6,1,9,1,0,0,0,0,0,0,8694,31,5405632635,2100,31,33,81810153588
0,2803,5,0,3,9,3,9,1,0,1,0,0,0,0,10710,46,6766706466,2939,41,42,1.03E+11
0,2697,2,0,2,29,2,5,1,0,1,0,0,0,0,10046,41,6211611179,2476,47,46,95832757116
0,2773,0,0,2,29,2,8,2,0,1,0,0,0,0,11740,64,7325918575,2838,55,56,1.06E+11
0,3125,8,1,4,9,4,8,2,0,1,0,0,0,0,11205,42,7080549306,3114,44,43,1.09E+11
0,2192,8,0,4,5,4,15,2,0,0,0,0,0,0,9053,31,5432194342,2285,34,34,79115601560
0,2550,8,0,4,22,4,10,1,0,0,0,0,0,0,9722,19,5966469271,2607,39,38,80373204284
0,3484,0,6,0,22,0,10,1,0,1,0,0,0,6,12679,45,7956967262,3334,52,54,1.24E+11
0,2304,0,3,0,11,0,2,1,0,0,0,0,0,0,9250,32,5569790195,2438,45,43,85868092662
0,2054,0,0,0,11,0,2,1,0,0,0,0,0,0,7462,32,4827294165,1824,25,27,80527690246
0,2163,0,1,0,6,0,2,3,0,1,0,0,0,0,9077,24,5443367504,2230,32,29,74193121414
0,2695,2,0,2,6,2,10,1,0,1,0,0,0,0,9893,39,6070094197,2708,37,40,96762490942
0,2692,2,0,2,10,2,10,2,0,0,0,0,0,1,11870,44,7006124196,2840,38,35,94659630122
0,3049,2,0,2,10,2,10,4,0,1,0,0,0,0,11127,48,7300772681,3051,40,42,1.09E+11
0,3001,2,0,0,6,0,18,0,0,0,0,0,0,0,10985,40,6942748486,2927,43,43,1.08E+11
0,2685,2,1,0,6,0,25,2,0,0,0,0,0,0,9701,25,5900702589,2537,42,38,94250289106
0,1975,2,3,0,24,0,27,1,0,0,0,0,0,0,8150,29,5129186477,1989,39,43,75210955672
0,1868,0,6,0,24,0,12,0,0,1,0,0,0,0,8083,42,4936334749,1928,30,24,72704994146
0,2369,0,0,0,36,0,10,2,0,0,0,0,0,0,9048,34,5626165287,2458,44,49,83370605954
0,2475,0,0,0,36,0,17,0,0,0,0,0,0,0,10754,47,6710723051,2744,44,46,88737261548
0,2437,10,0,3,12,2,24,1,0,0,0,0,0,0,7476,27,4519532053,1919,27,24,89121089006
0,2136,10,0,3,12,2,22,1,0,1,0,0,0,0,9308,32,5646290869,2338,25,27,74862324198
0,2602,12,1,5,28,4,15,2,0,0,0,0,0,0,11239,40,6897815051,2823,51,50,91215381040
0,3318,3,0,3,28,3,8,0,0,0,0,0,0,0,10801,37,6734451911,3040,42,43,1.10E+11
0,2925,13,0,9,8,9,9,2,0,1,0,0,0,0,10998,42,6728075823,3092,37,36,1.05E+11
0,2445,11,3,7,8,7,15,3,0,1,0,0,0,0,8861,28,5499563265,2184,39,40,84699931024
0,2481,24,0,10,11,8,38,1,0,0,0,0,0,0,9993,35,6155082889,2587,50,51,93474267102
0,2250,14,8,4,11,2,34,3,0,0,0,0,0,0,8674,27,5395417383,2191,45,44,76996552514
0,2395,14,0,4,11,2,31,0,0,1,0,0,0,0,9050,40,5516006981,2414,42,41,85024268752
0,2280,0,0,0,16,0,8,1,0,0,0,0,0,0,8866,25,5402745246,2309,33,35,78946743402
0,2243,0,0,0,26,0,8,1,0,0,0,0,0,0,8899,37,5540828529,2217,36,35,82053575394
0,2301,0,0,0,21,0,8,1,0,0,0,0,0,0,9527,34,6026004253,2271,32,32,89656073510
0,2590,2,0,2,13,2,9,3,0,1,0,0,0,0,10121,36,6212348741,2787,39,40,86934033430
