1,2,0,0,0,2,0,3,1,0,0,0,0,0,0,7,0,599860,2,1,1,35250370
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,6,0,476851,2,1,1,37313356
1,2,0,0,0,4,0,2,1,0,0,0,0,0,0,7,0,612427,2,1,1,37178536
1,2,0,0,0,4,0,2,0,0,0,0,0,0,0,6,0,465300,2,1,1,37171820
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,7,0,629630,2,1,1,37113216
1,2,0,0,0,2,0,2,1,0,0,0,0,0,0,6,0,451905,2,1,1,34829206
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,6,0,531238,2,1,1,36989750
1,2,0,0,0,2,0,3,1,0,0,0,0,0,0,6,0,539941,2,1,1,37159242
1,2,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,531259,2,1,1,37031164
1,2,0,0,0,4,0,3,1,0,0,0,0,0,0,6,0,539139,2,1,1,37141928
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,6,0,532704,2,1,1,37089184
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,7,0,549896,2,1,1,37190406
1,2,0,0,0,4,0,2,1,0,0,0,0,0,0,6,0,528276,2,1,1,37210390
1,2,0,0,0,4,0,3,0,0,0,0,0,0,0,7,0,596462,2,1,1,35824130
1,2,0,0,0,2,0,3,1,0,0,0,0,0,0,6,0,481137,2,1,1,37387168
1,2,0,0,0,2,0,3,0,0,0,0,0,0,0,7,0,606146,2,1,1,37042128
1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,6,0,462829,2,1,1,37122390
1,2,0,0,0,2,0,2,1,0,0,0,0,0,0,7,0,630573,2,1,1,37130212
1,2,0,0,0,4,0,2,0,0,0,0,0,0,0,6,0,447653,2,1,1,34785144
1,2,0,0,0,4,0,3,1,0,0,0,0,0,0,6,0,535638,2,1,1,37241728
1,2,0,0,0,2,0,3,0,0,0,0,0,0,0,6,0,531152,2,1,1,37087294
1,2,0,0,0,2,0,3,1,0,0,0,0,0,0,6,0,538417,2,1,1,37179744
1,2,0,0,0,4,0,2,0,0,0,0,0,0,0,6,0,533414,2,1,1,37171396
1,2,0,0,0,4,0,2,0,0,0,0,0,0,0,6,0,532040,2,1,1,37063670
